occurrenceID,Tijdstempel,Invuller 2,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat,long,Type,locationID,eventID,fuikNr,Hoek,Opmerkingen,scientificname,fuiktype,lifestage,individualCount,recordedBy,identifiedBy,taxonkey
7746dd23-0055-4ec0-8db0-71ee1caf476b,2019-06-06T12:20:53Z,Dries Jonckers,2019-05-07,2019,arendonk 1,Afvangst,NA,TRUE,51.326366,5.101613,Stilstaand,91a8e2bb-b682-4c53-b213-7494198b12ce,7-5-2019_arendonk 1,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
eb0d81d0-f86c-4ce9-9ecc-bc74b6b40ff5,2019-06-06T12:20:53Z,Dries Jonckers,2019-05-07,2019,arendonk 1,Afvangst,NA,TRUE,51.326366,5.101613,Stilstaand,91a8e2bb-b682-4c53-b213-7494198b12ce,7-5-2019_arendonk 1,Fuik 1,NA,NA,Gobio gobio,NA NA,NA,NA,Natuurpunt,Natuurpunt,4409628
c4603bbe-7b69-4b7b-bc6f-29c512b601bf,2019-06-06T12:22:37Z,Dries Jonckers,2019-05-07,2019,kasterlee 7,Afvangst,NA,TRUE,51.269378,5.015674,Stilstaand,d47894eb-3a0b-4dc1-8804-627d397aa280,7-5-2019_kasterlee 7,Fuik 1,NA,NA,Ichthyosaura alpestris,NA NA,NA,NA,Natuurpunt,Natuurpunt,2431783
f97ad05e-23ae-4ba2-b700-051a2676a9cf,2019-06-06T12:22:37Z,Dries Jonckers,2019-05-07,2019,kasterlee 7,Afvangst,NA,TRUE,51.269378,5.015674,Stilstaand,d47894eb-3a0b-4dc1-8804-627d397aa280,7-5-2019_kasterlee 7,Fuik 1,NA,NA,Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
4479e6f7-2177-4a1c-8268-b4fcf5f6a67d,2019-06-06T12:22:37Z,Dries Jonckers,2019-05-07,2019,kasterlee 7,Afvangst,NA,TRUE,51.269378,5.015674,Stilstaand,d47894eb-3a0b-4dc1-8804-627d397aa280,7-5-2019_kasterlee 7,Fuik 1,NA,NA,Pelophylax,NA NA,NA,NA,Natuurpunt,Natuurpunt,2426629
9c323c3d-c550-4835-8472-710b6b71cbde,2019-06-06T12:22:37Z,Dries Jonckers,2019-05-07,2019,kasterlee 7,Afvangst,NA,TRUE,51.269378,5.015674,Stilstaand,d47894eb-3a0b-4dc1-8804-627d397aa280,7-5-2019_kasterlee 7,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
e87f49ca-b70e-4d80-8fe7-1c902e3fc417,2019-06-06T12:26:14Z,Dries Jonckers,2019-05-07,2019,kasterlee 11b,Afvangst,NA,TRUE,51.271298,5.015931,Stilstaand,88caf36a-58a6-466d-8b6c-20208b56b34d,7-5-2019_kasterlee 11b,Fuik 1,NA,NA,Ichthyosaura alpestris,NA NA,NA,NA,Natuurpunt,Natuurpunt,2431783
8ec3acf0-66a6-4a8e-9f67-958aca37b00a,2019-06-06T12:26:14Z,Dries Jonckers,2019-05-07,2019,kasterlee 11b,Afvangst,NA,TRUE,51.271298,5.015931,Stilstaand,88caf36a-58a6-466d-8b6c-20208b56b34d,7-5-2019_kasterlee 11b,Fuik 1,NA,NA,Distycus spec.,NA NA,NA,NA,Natuurpunt,Natuurpunt,1038058
e84a5cfb-5b9f-4efa-923e-ccf6197bcccd,2019-06-06T12:28:59Z,Dries Jonckers,2019-05-16,2019,mol 1,Afvangst,NA,TRUE,NA,NA,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,16-5-2019_mol 1,Fuik 1,NA,"Spinnende watertor, geelgerande watertor",Umbra pygmaea,NA NA,NA,NA,Natuurpunt,Natuurpunt,5203111
8eff8568-24c6-406b-812a-de5bc252118a,2019-06-06T12:28:59Z,Dries Jonckers,2019-05-16,2019,mol 1,Afvangst,NA,TRUE,NA,NA,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,16-5-2019_mol 1,Fuik 1,NA,"Spinnende watertor, geelgerande watertor",Pseudorasbora parva,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362868
dfceb7c3-accc-4f7d-bfeb-5ae1a97cb630,2019-06-06T12:28:59Z,Dries Jonckers,2019-05-16,2019,mol 1,Afvangst,NA,TRUE,NA,NA,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,16-5-2019_mol 1,Fuik 1,NA,"Spinnende watertor, geelgerande watertor",Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
432b3c94-2341-4a19-ac3e-d718adedd8eb,2019-06-06T12:28:59Z,Dries Jonckers,2019-05-16,2019,mol 1,Afvangst,NA,TRUE,NA,NA,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,16-5-2019_mol 1,Fuik 1,NA,"Spinnende watertor, geelgerande watertor",Pelophylax,NA NA,NA,NA,Natuurpunt,Natuurpunt,2426629
dc914e9e-58af-4db8-90c1-7591f41371dc,2019-06-06T12:28:59Z,Dries Jonckers,2019-05-16,2019,mol 1,Afvangst,NA,TRUE,NA,NA,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,16-5-2019_mol 1,Fuik 1,NA,"Spinnende watertor, geelgerande watertor",Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
0323f1f5-c09f-4b14-87de-55aa5a5dfacf,2019-06-06T12:28:59Z,Dries Jonckers,2019-05-16,2019,mol 1,Afvangst,NA,TRUE,NA,NA,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,16-5-2019_mol 1,Fuik 1,NA,"Spinnende watertor, geelgerande watertor",Pungitius pungitius,NA NA,NA,NA,Natuurpunt,Natuurpunt,5739510
a3b6516e-145a-4ec6-8ac5-18185632915e,2019-06-06T12:36:15Z,Dries Jonckers,2019-05-16,2019,mol 3 & 5,Afvangst,NA,TRUE,NA,NA,Stilstaand,87a25b46-35e4-452a-8c18-b3bf104b5892,16-5-2019_mol 3 & 5,Fuik 1,NA,NA,Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
b60fa59f-3445-4940-a342-366043354562,2019-06-06T12:36:15Z,Dries Jonckers,2019-05-16,2019,mol 3 & 5,Afvangst,NA,TRUE,NA,NA,Stilstaand,87a25b46-35e4-452a-8c18-b3bf104b5892,16-5-2019_mol 3 & 5,Fuik 2,NA,NA,Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
5832ffa5-cf3a-40f0-b64d-296368ebc266,2019-06-06T21:38:24Z,Dries Jonckers,2019-05-16,2019,mol 14,Afvangst,NA,TRUE,NA,NA,Stilstaand,73b540a9-b643-47c9-ba95-e1830f705af2,16-5-2019_mol 14,Fuik 1,NA,Amerikaanse rode kreeft,Perca fluviatilis,NA NA,NA,NA,Natuurpunt,Natuurpunt,8140485
fbb01e2d-58cb-4e85-8449-3c078877dbb8,2019-06-06T21:38:24Z,Dries Jonckers,2019-05-16,2019,mol 14,Afvangst,NA,TRUE,NA,NA,Stilstaand,73b540a9-b643-47c9-ba95-e1830f705af2,16-5-2019_mol 14,Fuik 1,NA,Amerikaanse rode kreeft,Pseudorasbora parva,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362868
4b9aae09-b699-40b6-859f-d91a391e6dc2,2019-06-06T21:38:24Z,Dries Jonckers,2019-05-16,2019,mol 14,Afvangst,NA,TRUE,NA,NA,Stilstaand,73b540a9-b643-47c9-ba95-e1830f705af2,16-5-2019_mol 14,Fuik 1,NA,Amerikaanse rode kreeft,Pelophylax,NA NA,NA,NA,Natuurpunt,Natuurpunt,2426629
def909d4-3f3b-4029-8544-2b189141a72a,2019-06-06T21:38:24Z,Dries Jonckers,2019-05-16,2019,mol 14,Afvangst,NA,TRUE,NA,NA,Stilstaand,73b540a9-b643-47c9-ba95-e1830f705af2,16-5-2019_mol 14,Fuik 1,NA,Amerikaanse rode kreeft,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
32cfab8a-e936-4ed9-b64e-da3dfdbda303,2019-06-06T21:38:24Z,Dries Jonckers,2019-05-16,2019,mol 14,Afvangst,NA,TRUE,NA,NA,Stilstaand,73b540a9-b643-47c9-ba95-e1830f705af2,16-5-2019_mol 14,Fuik 1,NA,Amerikaanse rode kreeft,Lepomis gibbosus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2394486
1e5d98df-df82-464a-879a-e393feede737,2019-06-06T21:44:40Z,Dries Jonckers,2019-05-16,2019,mol 34,Afvangst,NA,TRUE,NA,NA,Stilstaand,e23906f6-6d6b-4fff-913f-78a71ae22002,16-5-2019_mol 34,Fuik 1,NA,NA,Pseudorasbora parva,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362868
4a949f8b-6615-42d8-a341-5f6b7e01cf65,2019-06-06T21:44:40Z,Dries Jonckers,2019-05-16,2019,mol 34,Afvangst,NA,TRUE,NA,NA,Stilstaand,e23906f6-6d6b-4fff-913f-78a71ae22002,16-5-2019_mol 34,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
5726b92d-3c8f-4690-abbe-72ef6791f9dc,2019-06-06T21:44:40Z,Dries Jonckers,2019-05-16,2019,mol 34,Afvangst,NA,TRUE,NA,NA,Stilstaand,e23906f6-6d6b-4fff-913f-78a71ae22002,16-5-2019_mol 34,Fuik 1,NA,NA,Lepomis gibbosus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2394486
5eafae96-7900-4abe-8f2f-9579b72eedae,2019-06-06T21:53:12Z,Sander Devisscher,2019-05-16,2019,mol 42,Afvangst,NA,TRUE,NA,NA,Stilstaand,b1aff4a7-a117-4f8e-b48a-f0875772598e,16-5-2019_mol 42,Fuik 1,NA,NA,Pseudorasbora parva,NA NA,NA,NA,INBO,INBO,2362868
d09d4574-127a-4673-89a9-ee61643b7910,2019-06-06T21:53:12Z,Sander Devisscher,2019-05-16,2019,mol 42,Afvangst,NA,TRUE,NA,NA,Stilstaand,b1aff4a7-a117-4f8e-b48a-f0875772598e,16-5-2019_mol 42,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,INBO,INBO,2362635
88777fe7-7a95-4158-9a55-e558f5de3883,2019-06-06T21:53:12Z,Sander Devisscher,2019-05-16,2019,mol 42,Afvangst,NA,TRUE,NA,NA,Stilstaand,b1aff4a7-a117-4f8e-b48a-f0875772598e,16-5-2019_mol 42,Fuik 1,NA,NA,Lepomis gibbosus,NA NA,NA,NA,INBO,INBO,2394486
1b0303ba-dd10-49ad-8195-dd3d5e13357f,2019-06-06T21:53:12Z,Sander Devisscher,2019-05-16,2019,mol 42,Afvangst,NA,TRUE,NA,NA,Stilstaand,b1aff4a7-a117-4f8e-b48a-f0875772598e,16-5-2019_mol 42,Fuik 1,NA,NA,Leucaspius delineatus,NA NA,NA,NA,INBO,INBO,2362881
e1601e07-5118-4547-a2ba-f863a6d8ebf9,2019-06-07T14:09:45Z,Sander Devisscher,2019-05-16,2019,mol 43,Afvangst,NA,TRUE,NA,NA,Stilstaand,d2e13b08-80d3-41b2-a386-2744ffceab95,16-5-2019_mol 43,Fuik 1,NA,NA,Leucaspius delineatus,NA NA,NA,NA,INBO,INBO,2362881
361e9eb7-ec69-4dfc-a88f-edfa04eff147,2019-06-07T14:09:45Z,Sander Devisscher,2019-05-16,2019,mol 43,Afvangst,NA,TRUE,NA,NA,Stilstaand,d2e13b08-80d3-41b2-a386-2744ffceab95,16-5-2019_mol 43,Fuik 1,NA,NA,Pseudorasbora parva,NA NA,NA,NA,INBO,INBO,2362868
ac747abb-e5e4-45ed-afc5-e609f6243bce,2019-06-07T14:09:45Z,Sander Devisscher,2019-05-16,2019,mol 43,Afvangst,NA,TRUE,NA,NA,Stilstaand,d2e13b08-80d3-41b2-a386-2744ffceab95,16-5-2019_mol 43,Fuik 1,NA,NA,Gasterosteus aculeatus,NA NA,NA,NA,INBO,INBO,4286327
38492d59-66c4-478d-8738-0ea72e055c07,2019-06-07T14:09:45Z,Sander Devisscher,2019-05-16,2019,mol 43,Afvangst,NA,TRUE,NA,NA,Stilstaand,d2e13b08-80d3-41b2-a386-2744ffceab95,16-5-2019_mol 43,Fuik 1,NA,NA,Lepomis gibbosus,NA NA,NA,NA,INBO,INBO,2394486
8ac9f75f-a44e-4af9-8f02-01612462dcb1,2019-06-11T21:45:23Z,Sander Devisscher,2019-05-16,2019,mol 39,Afvangst,NA,TRUE,NA,NA,Stilstaand,9c52e9f1-b191-4c05-bbdd-33b82d43d12a,16-5-2019_mol 39,Fuik 1,NA,Halve fuik,Pseudorasbora parva,NA NA,NA,NA,INBO,INBO,2362868
a87e5523-7d0e-4e39-82c5-246c34aeaf0a,2019-06-11T21:45:23Z,Sander Devisscher,2019-05-16,2019,mol 39,Afvangst,NA,TRUE,NA,NA,Stilstaand,9c52e9f1-b191-4c05-bbdd-33b82d43d12a,16-5-2019_mol 39,Fuik 1,NA,Halve fuik,Anguilla anguilla,NA NA,NA,NA,INBO,INBO,5212973
eea61f7e-368d-49bc-a59f-d48646224b08,2019-06-11T21:45:23Z,Sander Devisscher,2019-05-16,2019,mol 39,Afvangst,NA,TRUE,NA,NA,Stilstaand,9c52e9f1-b191-4c05-bbdd-33b82d43d12a,16-5-2019_mol 39,Fuik 1,NA,Halve fuik,Lepomis gibbosus,NA NA,NA,NA,INBO,INBO,2394486
d1f70360-6e13-4d60-ab9f-fa5025920a48,2019-06-11T21:50:33Z,Kris Meeus,2019-05-17,2019,driehoek,Afvangst,NA,FALSE,51.474603,4.751374,Stilstaand,48fb261c-3f3a-4a95-9103-1e6822dae999,17-5-2019_driehoek,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurwerk,Natuurwerk,2362635
4f796fe9-1eda-4617-a04c-8fee7f65c150,2019-06-11T21:50:33Z,Kris Meeus,2019-05-17,2019,driehoek,Afvangst,NA,FALSE,51.474603,4.751374,Stilstaand,48fb261c-3f3a-4a95-9103-1e6822dae999,17-5-2019_driehoek,Fuik 1,NA,NA,Gobio gobio,NA NA,NA,NA,Natuurwerk,Natuurwerk,4409628
d0fd0cc3-f561-420d-87f7-77341bd384e3,2019-06-11T21:50:33Z,Kris Meeus,2019-05-17,2019,driehoek,Afvangst,NA,FALSE,51.474603,4.751374,Stilstaand,48fb261c-3f3a-4a95-9103-1e6822dae999,17-5-2019_driehoek,Fuik 1,NA,NA,Perca fluviatilis,NA NA,NA,NA,Natuurwerk,Natuurwerk,8140485
1cb2523c-6922-4f8f-82c3-8009ef21f1fa,2019-06-11T21:50:33Z,Kris Meeus,2019-05-17,2019,driehoek,Afvangst,NA,FALSE,51.474603,4.751374,Stilstaand,48fb261c-3f3a-4a95-9103-1e6822dae999,17-5-2019_driehoek,Fuik 1,NA,NA,Rutilus rutilus,NA NA,NA,NA,Natuurwerk,Natuurwerk,2359706
cb9472db-911a-4271-91d1-fb3c52db173b,2019-06-11T21:50:33Z,Kris Meeus,2019-05-17,2019,driehoek,Afvangst,NA,FALSE,51.474603,4.751374,Stilstaand,48fb261c-3f3a-4a95-9103-1e6822dae999,17-5-2019_driehoek,Fuik 2,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurwerk,Natuurwerk,2362635
ea9c1cb4-dba0-408f-a2d2-3eed3827f4dc,2019-06-11T21:50:33Z,Kris Meeus,2019-05-17,2019,driehoek,Afvangst,NA,FALSE,51.474603,4.751374,Stilstaand,48fb261c-3f3a-4a95-9103-1e6822dae999,17-5-2019_driehoek,Fuik 2,NA,NA,Perca fluviatilis,NA NA,NA,NA,Natuurwerk,Natuurwerk,8140485
94ccaa86-afcc-4258-957a-4596b3aa026c,2019-06-11T21:55:44Z,Kris Meeus,2019-05-17,2019,natuurpuntpoel,Afvangst,NA,FALSE,51.472352,4.750012,Stilstaand,95cb7221-19b1-4961-8438-46ee438558bf,17-5-2019_natuurpuntpoel,Fuik 1,NA,NA,Lissotriton vulgaris,NA NA,NA,NA,Natuurwerk,Natuurwerk,5218405
61f23dd6-dcb3-418f-b815-348b244ceffd,2019-06-11T21:55:44Z,Kris Meeus,2019-05-17,2019,natuurpuntpoel,Afvangst,NA,FALSE,51.472352,4.750012,Stilstaand,95cb7221-19b1-4961-8438-46ee438558bf,17-5-2019_natuurpuntpoel,Fuik 1,NA,NA,Distycus spec.,NA NA,NA,NA,Natuurwerk,Natuurwerk,1038058
